Timestamp,Steering,RPM
1734006966.1459033,0.5215686274509804,0.0
1734006966.1662405,0.5215686274509804,0.0
1734006966.186524,0.5215686274509804,0.0
1734006966.2067943,0.5215686274509804,0.0
1734006966.2270434,0.5215686274509804,0.0
1734006966.2472892,0.5215686274509804,0.0
1734006966.2675667,0.5215686274509804,0.0
1734006966.287816,0.5215686274509804,0.0
1734006966.3080575,0.5215686274509804,0.0
1734006966.3282948,0.5215686274509804,0.0
1734006966.3485353,0.5215686274509804,0.0
1734006966.368778,0.5215686274509804,0.0
1734006966.3890176,0.5215686274509804,0.0
1734006966.409278,0.5215686274509804,0.0
1734006966.4295366,0.5215686274509804,0.0
1734006966.4497945,0.5215686274509804,0.0
1734006966.4700475,0.5215686274509804,0.0
1734006966.4902864,0.5215686274509804,0.0
1734006966.510528,0.5215686274509804,0.0
1734006966.530764,0.5215686274509804,0.0
1734006966.5509973,0.5215686274509804,0.0
1734006966.571224,0.5215686274509804,0.0
1734006966.591455,0.5215686274509804,0.0
1734006966.6117213,0.5215686274509804,0.0
1734006966.6319613,0.5215686274509804,0.0
1734006966.6521933,0.5215686274509804,0.0
1734006966.6724257,0.5215686274509804,0.0
1734006966.692668,0.5215686274509804,0.0
1734006966.7129076,0.5215686274509804,0.0
1734006966.7331433,0.5215686274509804,0.0
1734006966.753376,0.5215686274509804,0.0
1734006966.7736034,0.5215686274509804,0.0
1734006966.79384,0.5215686274509804,0.0
1734006966.8140726,0.5215686274509804,0.0
1734006966.8343065,0.5215686274509804,0.0
1734006966.8545399,0.5215686274509804,0.0
1734006966.874768,0.5215686274509804,0.0
1734006966.8949966,0.5215686274509804,0.0
1734006966.9152393,0.5215686274509804,0.0
1734006966.9355128,0.5215686274509804,0.0
1734006966.9557676,0.5215686274509804,0.0
1734006966.9760206,0.5215686274509804,0.0
1734006966.996264,0.5215686274509804,0.0
1734006967.016501,0.5215686274509804,0.0
1734006967.036735,0.5215686274509804,0.0
1734006967.0569673,0.5215686274509804,0.0
1734006967.0772002,0.5215686274509804,0.0
1734006967.0974324,0.5215686274509804,0.0
1734006967.1176775,0.5215686274509804,0.0
1734006967.1379194,0.5215686274509804,0.0
1734006967.1581779,0.5215686274509804,0.0
1734006967.178425,0.5215686274509804,0.0
1734006967.1986575,0.5215686274509804,0.0
1734006967.2188902,0.5215686274509804,0.0
1734006967.239129,0.5215686274509804,0.0
1734006967.2593682,0.5215686274509804,0.0
1734006967.279572,0.5215686274509804,0.0
1734006967.299804,0.5215686274509804,0.0
1734006967.32004,0.5215686274509804,0.0
1734006967.34035,0.5058823529411764,0.0
1734006967.3606777,0.45254901960784316,0.0
1734006967.401227,0.37098039215686274,0.0
1734006967.4417443,0.12313725490196077,0.0
1734006967.462059,0.12313725490196077,0.0
1734006967.4823651,0.12313725490196077,0.0
1734006967.5026588,0.12313725490196077,0.0
1734006967.5229456,0.12313725490196077,0.0
1734006967.5432138,0.12313725490196077,0.0
1734006967.5635052,0.12313725490196077,0.0
